FLATA
FLATA,747,843,609萬,"1996
", 
FLATA,747,843,315萬,"2002
",-18.9%
FLATA,-,843,420萬,"2004
", 
FLATA,-,843,530萬,"1996
", 
FLATA,747,843,384萬,"2000
", 
FLATA,-,"
", ," 
","
"
FLATA,-,843,315萬,"2002
", 
FLATA,-,"
", ," 
","
"
FLATA,747,843,415萬,"2004
", 
FLATA,-,"
", ," 
","
"
FLATA,747,843,"1,428萬","2017
", 
FLATA,747,843,260萬,"2003
",-62.9%
FLATA,-,"
", ," 
","
"
FLATA,747,843,645萬,"1998
", 
FLATA,747,843,490萬,"2005
",-50.8%
FLATA,-,843,428萬,"1998
",-5.9%
FLATA,-,"
", ," 
","
"
FLATA,-,"
", ," 
","
"
FLATA,747,843,"1,065萬","2014
",-99.1%
FLATA,-,"
", ," 
","
"
FLATA,747,843,890萬,"2012
",-21.9%
FLATA,747,843,495萬,"2007
",-17.3%
FLATA,747,843,295萬,"2000
",-11.9%
FLATA,-,"
", ," 
","
"
FLATA,-,"
", ," 
","
"
FLATA,747,843,930萬,"2015
",-120.4%
FLATB
FLATB,785,883,470萬,"2004
",-21.7%
FLATB,785,"
", ," 
","
"
FLATB,785,883,518萬,"2007
",-44.7%
FLATB,-,"
", ," 
","
"
FLATB,-,"
", ," 
","
"
FLATB,-,883,348萬,"2001
",-40.0%
FLATB,785,883,754萬,"2010
",-93.5%
FLATB,785,883,445萬,"2005
", 
FLATB,-,883,457萬,"2006
",-4.4%
FLATB,-,"
", ," 
","
"
FLATB,-,883,480萬,"2005
",-7.9%
FLATB,785,"
", ," 
","
"
FLATB,785,883,463萬,"2006
", 
FLATB,785,"
", ," 
","
"
FLATB,-,"
", ," 
","
"
FLATB,785,883,360萬,"1998
", 
FLATB,785,883,"1,448萬","2017
",-108.3%
FLATB,-,"
", ," 
","
"
FLATB,785,883,381萬,"1998
", 
FLATB,785,883,423萬,"2000
",-10.6%
FLATB,785,883,880萬,"2012
",-92.1%
FLATB,785,883,258萬,"2003
",-61.8%
FLATB,785,"
", ," 
","
"
FLATB,-,883,390萬,"1996
", 
FLATB,785,"
", ," 
","
"
FLATB,785,883,680萬,"2012
",-106.1%
FLATC
FLATC,785,883,350萬,"2000
",-15.0%
FLATC,785,"
", ," 
","
"
FLATC,785,883,450萬,"1996
", 
FLATC,785,883,730萬,"2009
",-5.6%
FLATC,785,883,860萬,"2011
",-115.0%
FLATC,-,"
", ," 
","
"
FLATC,785,"
", ," 
","
"
FLATC,-,883,600萬,"2007
",-43.5%
FLATC,-,883,478萬,"1996
", 
FLATC,-,883,465萬,"2006
",-15.8%
FLATC,785,883,860萬,"2011
",-41.4%
FLATC,785,883,560萬,"2009
",-93.1%
FLATC,785,"
", ," 
","
"
FLATC,785,883,"1,080萬","2014
",-200.0%
FLATC,785,"
", ," 
","
"
FLATC,785,"
", ," 
","
"
FLATC,785,883,"1,128萬","2016
",-43.1%
FLATC,-,883,388萬,"2000
", 
FLATC,785,883,995萬,"2011
",-37.5%
FLATC,-,883,265萬,"2003
", 
FLATC,785,"
", ," 
","
"
FLATC,-,"
", ," 
","
"
FLATC,785,883,453萬,"2005
",-22.4%
FLATC,785,883,620萬,"1997
",-18.1%
FLATC,-,"
", ," 
","
"
FLATC,785,883,900萬,"2014
",-69.8%
FLATD
FLATD,747,843,460萬,"1998
", 
FLATD,747,843,"1,355萬","2015
",-292.8%
FLATD,747,843,"1,220萬","2016
",-8.9%
FLATD,747,843,760萬,"2010
",-21.0%
FLATD,-,843,480萬,"1996
", 
FLATD,747,843,"1,100萬","2014
", 
FLATD,-,843,458萬,"1999
",-37.9%
FLATD,-,"
", ," 
","
"
FLATD,747,"
", ," 
","
"
FLATD,-,"
", ," 
","
"
FLATD,-,843,372萬,"1998
", 
FLATD,-,"
", ," 
","
"
FLATD,747,843,457萬,"2005
", 
FLATD,747,"
", ," 
","
"
FLATD,-,843,758萬,"1997
", 
FLATD,747,843,353萬,"2000
", 
FLATD,-,"
", ," 
","
"
FLATD,-,"
", ," 
","
"
FLATD,-,"
", ," 
","
"
FLATD,747,843,463萬,"2006
",-33.9%
FLATD,747,843,"1,180萬","2015
",-375.8%
FLATD,-,"
", ," 
","
"
FLATD,-,"
", ," 
","
"
FLATD,747,843,429萬,"2006
",-5.1%
FLATD,747,843,735萬,"2011
",-118.8%
FLATD,747,843,342萬,"1998
", 
FLATE
FLATE,747,843,850萬,"2010
", 
FLATE,747,843,478萬,"1996
", 
FLATE,-,"
", ," 
","
"
FLATE,-,"
", ," 
","
"
FLATE,-,"
", ," 
","
"
FLATE,-,843,300萬,"2002
", 
FLATE,-,843,470萬,"2005
",-10.3%
FLATE,-,"
", ," 
","
"
FLATE,747,843,"1,080萬","2014
",-71.4%
FLATE,747,843,"1,200萬","2015
",-118.2%
FLATE,747,843,660萬,"2008
",-10.2%
FLATE,747,843,990萬,"2014
",-106.2%
FLATE,747,843,383萬,"2000
",-38.5%
FLATE,747,"
", ," 
","
"
FLATE,747,843,"1,228萬","2015
",-36.4%
FLATE,-,"
", ," 
","
"
FLATE,747,843,600萬,"2009
", 
